time,pressure (Pa),loading (g/g)
0 days 00:00:00,0.0034476159028278565,0.04916633683360251
0 days 00:00:05,0.0034476159028278565,0.049026944352940735
0 days 00:00:10,0.003437191396755306,0.04891289595967215
0 days 00:00:15,0.0034423997037688896,0.04878617552270708
0 days 00:00:20,0.003437191396755306,0.0486721271294385
0 days 00:00:25,0.003339717278731694,0.04855807873616969
0 days 00:00:30,0.0034112678250800285,0.04844403034290111
0 days 00:00:35,0.0032845534064016076,0.04831730990593626
0 days 00:00:40,0.0034423997037688896,0.048215933556364166
0 days 00:00:45,0.0033701961733273882,0.048101885163095576
0 days 00:00:50,0.0034009532241960866,0.04800050881352348
0 days 00:00:55,0.00341192869310923,0.04789913246395115
0 days 00:01:00,0.003489731052345258,0.0477850840706828
0 days 00:01:05,0.003455622378228817,0.04768370772111047
0 days 00:01:10,0.0033753029637942017,0.04759500341523486
0 days 00:01:15,0.0033958076251991544,0.04749362706566276
0 days 00:01:20,0.003473815697991796,0.047392250716090656
0 days 00:01:25,0.0033906698114305545,0.047290874366518555
0 days 00:01:30,0.0034949188155738923,0.047189498016946455
0 days 00:01:35,0.003437191396755306,0.04708812166737436
0 days 00:01:40,0.0034790795010903233,0.04699941736149874
0 days 00:01:45,0.0033753029637942017,0.04691071305562313
0 days 00:01:50,0.003365097109372046,0.04682200874974751
0 days 00:01:55,0.0034267984111201032,0.04672063240017541
0 days 00:02:00,0.0033549221142529983,0.0466319280942998
0 days 00:02:05,0.003365097109372046,0.046543223788424404
0 days 00:02:10,0.00347154589652227,0.046467191526245274
0 days 00:02:15,0.00346859564310865,0.04637215119852142
0 days 00:02:20,0.0033958076251991544,0.04627711087079756
0 days 00:02:25,0.003437384461093941,0.04620107860861843
0 days 00:02:30,0.003247577621123237,0.046112374302742815
0 days 00:02:35,0.0034089685576314754,0.046030006018715444
0 days 00:02:40,0.0034476159028278565,0.04596030977838478
0 days 00:02:45,0.0033958076251991544,0.04587160547250916
0 days 00:02:50,0.003431990969846553,0.04579557321033003
0 days 00:02:55,0.0034476159028278565,0.04570686890445464
0 days 00:03:00,0.0034843512803263963,0.04563083664227551
0 days 00:03:05,0.003421613708671507,0.04555480438009638
0 days 00:03:10,0.0033296190242609333,0.045478772117917475
0 days 00:03:15,0.0033701961733273882,0.04540273985573834
0 days 00:03:20,0.003463311971954461,0.04532670759355921
0 days 00:03:25,0.003495495727792014,0.04525067533138008
0 days 00:03:30,0.0033447778851281368,0.04517464306920095
0 days 00:03:35,0.003380417492480316,0.045098610807022044
0 days 00:03:40,0.0034482838126081855,0.045028914566691156
0 days 00:03:45,0.0033935887944485134,0.04496555434820851
0 days 00:03:50,0.0033676466413497174,0.04488952208602938
0 days 00:03:55,0.0034843512803263963,0.044832497889395195
0 days 00:04:00,0.0033447778851281368,0.044756465627216066
0 days 00:04:05,0.0033549221142529983,0.04468043336503694
0 days 00:04:10,0.003463311971954461,0.04461707314655451
0 days 00:04:15,0.0034423997037688896,0.04454104088437538
0 days 00:04:20,0.0033958076251991544,0.044477680665892735
0 days 00:04:25,0.003385539771111332,0.04441432044741032
0 days 00:04:30,0.0033296190242609333,0.04435096022892767
0 days 00:04:35,0.003421613708671507,0.04427492796674854
0 days 00:04:40,0.0032795839189037903,0.0442242397919626
0 days 00:04:45,0.0034896310477861275,0.04414820752978347
0 days 00:04:50,0.0035108302422248174,0.04408484731130082
0 days 00:04:55,0.0035007000947531825,0.044027823114666645
0 days 00:05:00,0.00350294680522048,0.043964462896184
0 days 00:05:05,0.0034560739479017936,0.04390110267770135
0 days 00:05:10,0.003349846159762065,0.043844078481067174
0 days 00:05:15,0.0034424036497915813,0.04378705428443277
0 days 00:05:20,0.0033221120254908216,0.04372369406595012
0 days 00:05:25,0.003437191396755306,0.04366666986931594
0 days 00:05:30,0.003452840005890904,0.0436033096508333
0 days 00:05:35,0.0034790795010903233,0.04353994943235065
0 days 00:05:40,0.003380417492480316,0.04348926125756471
0 days 00:05:45,0.0034267984111201032,0.04342590103908207
0 days 00:05:50,0.003339717278731694,0.043375212864296124
0 days 00:05:55,0.003463311971954461,0.04331185264581348
0 days 00:06:00,0.0032059375200332017,0.04327383651472402
0 days 00:06:05,0.0033958076251991544,0.04321047629624138
0 days 00:06:10,0.003349846159762065,0.04315978812145544
0 days 00:06:15,0.0034061066202181454,0.04309642790297279
