ind,MOF,UCVOL,RHO,PLD,LCD,SA,PV,Vf,KH_H2O,Hst_H2O,M_D4,V_D4
0,ADASOP_stripped,35781.3,0.63,6.69,18.04,3355.31,1.22,0.77,5.76e-06,20.68,0.43192,0.2721096
1,ADAVEI_stripped,130617.0,1.06,6.25,9.08,1042.09,0.53,0.56,1.96e-06,15.59,0.15324000000000002,0.16243440000000003
2,ADUWIH_stripped,86023.1,0.72,6.55,9.28,2595.28,0.99,0.71,3.64e-06,16.04,0.15830000000000002,0.11397600000000001
3,AGIREP_clean,25662.0,1.0,6.86,10.93,2058.29,0.69,0.69,4.85e-06,20.5,0.14233,0.14233
4,AHETAK_stripped,48450.1,0.99,6.48,9.75,1815.91,0.64,0.64,5.73e-06,17.24,0.23083,0.2285217
5,ANUGUM_stripped,38203.0,0.68,7.02,8.27,3459.73,1.09,0.74,4.82e-06,14.92,0.43921,0.2986628
6,AQIQAU_clean,46877.2,0.86,6.31,7.61,2096.64,0.77,0.67,8.97e-06,24.28,0.12174,0.1046964
7,ATEYED_clean,45620.6,0.47,6.22,7.48,6672.39,1.67,0.78,6.02e-06,17.1,0.16928,0.0795616
8,AVEQID_clean,54423.6,0.8,6.23,7.55,2607.68,0.89,0.71,7.76e-06,21.11,0.22740000000000002,0.18192000000000003
9,AVITUU_clean,68173.1,0.71,6.93,11.69,2056.56,0.98,0.7,3.97e-06,16.14,0.32117,0.2280307
10,AVIVIK_clean,72416.9,0.73,6.7,11.8,2073.82,0.96,0.71,5.24e-06,18.46,0.30072000000000004,0.21952560000000002
11,AVIVUW_clean,72864.3,0.73,6.92,12.04,2060.35,0.97,0.71,4.79e-06,17.85,0.31495,0.2299135
12,BAKGIF_manual,29867.0,1.02,6.31,7.55,1332.22,0.6,0.61,4.86e-06,24.67,0.09148,0.0933096
13,BAKYOE_clean,38571.0,1.03,6.19,7.12,1306.9,0.56,0.58,4.5e-06,16.99,0.03972,0.0409116
14,BEPRIZ_clean,39788.4,0.76,6.04,10.21,2527.98,0.89,0.68,3.52e-06,16.0,0.2722,0.206872
15,BIZLUT_clean,85500.9,0.85,6.4,8.11,2042.63,0.77,0.65,3.58e-06,15.24,0.03976,0.033796
16,BIZMAA_clean,87031.8,0.84,6.8,8.83,2106.96,0.79,0.66,3.58e-06,16.0,0.10491,0.0881244
17,BIZMEE_clean,85523.7,0.86,6.47,8.33,2036.06,0.77,0.66,3.62e-06,15.75,0.05803,0.0499058
18,BIZMII_clean,84756.0,0.87,6.37,8.09,2001.56,0.75,0.65,3.82e-06,16.56,0.040299999999999996,0.035060999999999995
19,BOHXAZ_auto,19359.8,0.79,6.15,12.21,2531.23,0.9,0.71,3.04e-06,16.63,0.48097,0.37996630000000003
20,BOYYOF_clean,71035.6,1.14,6.48,9.47,1249.95,0.51,0.59,5.78e-06,22.09,0.16813,0.19166819999999998
21,BUCWAZ_clean,42355.6,0.99,6.32,8.07,2050.2,0.7,0.69,6.97e-06,18.58,0.20596,0.2039004
22,CAVRAU_clean,60115.9,0.99,6.43,8.06,1683.84,0.65,0.65,8.43e-06,21.11,0.1401,0.138699
23,CAVVUS_clean,38089.6,1.11,6.18,8.7,1293.31,0.57,0.64,3.23e-06,17.45,0.26869,0.2982459
24,CAZNOI_charged,28653.0,0.69,6.53,9.9,2979.96,1.02,0.71,7.77e-06,23.02,0.39815,0.27472349999999995
25,COCNAL_clean,25274.2,0.65,6.55,10.84,3470.9,1.18,0.77,6.9e-06,19.47,0.59157,0.38452050000000004
26,CUNWEO_clean,55823.7,1.23,6.49,7.1,843.05,0.42,0.52,4.73e-06,22.85,0.12165999999999999,0.1496418
27,DAKVOC_clean,25595.0,0.81,6.67,10.83,2232.39,0.88,0.72,4.62e-06,17.95,0.35441,0.2870721
